b,g,r,t
-0.701872, -0.957754, -1.226965, 16250.000000
-0.939340, -1.152958, -1.484154, 16375.000000
-1.236041, -1.606275, -2.072571, 16500.000000
-0.972783, -0.934454, -1.421607, 16625.000000
-0.726465, -0.821447, -1.276372, 16750.000000
-0.751972, -0.860083, -1.262735, 16875.000000
-0.162924, -0.417103, -0.841497, 17000.000000
0.390749, 0.096931, 0.010027, 17125.000000
0.394894, 0.047790, -0.336445, 17250.000000
1.196530, 0.851334, 0.826798, 17375.000000
0.108607, 0.342716, 0.553781, 17500.000000
0.532137, 0.526461, 0.821887, 17625.000000
0.588866, 0.567088, 0.914131, 17750.000000
0.079207, -0.024670, 0.390832, 17875.000000
-0.483522, -0.451745, 0.012815, 18000.000000
1.133090, 1.561847, 1.995791, 18125.000000
1.264135, 1.017334, 1.160802, 18250.000000
0.917252, 0.556422, 0.415415, 18375.000000
0.580440, 0.178987, 0.352569, 18500.000000
0.811135, 0.547606, 0.805433, 18625.000000
0.758500, 0.269008, 0.087748, 18750.000000
0.342007, 0.117196, -0.040070, 18875.000000
1.315901, 0.804035, 0.925645, 19000.000000
1.194236, 0.826596, 0.729560, 19125.000000
1.108153, 0.728511, 0.890606, 19250.000000
1.078270, 0.615889, 0.959988, 19375.000000
0.650347, 0.433803, 0.685696, 19500.000000
0.628426, 0.663929, 0.696890, 19625.000000
1.191231, 1.322625, 1.512927, 19750.000000
0.870654, 1.390423, 1.354785, 19875.000000
0.977515, 0.818882, 1.017889, 20000.000000
0.766208, 0.548049, 0.866615, 20125.000000
0.496799, 0.456421, 0.438940, 20250.000000
0.063065, 0.188458, -0.050965, 20375.000000
0.047822, 0.636400, 0.590860, 20500.000000
0.434582, 0.855491, 0.924816, 20625.000000
0.895671, 1.361381, 1.448453, 20750.000000
1.249830, 1.428770, 1.417958, 20875.000000
0.878151, 0.857667, 0.686881, 21000.000000
1.409830, 1.922681, 1.966911, 21125.000000
0.830636, 1.349095, 1.389117, 21250.000000
1.840740, 2.202771, 2.461977, 21375.000000
0.974155, 1.254240, 1.160183, 21500.000000
0.945107, 1.109230, 1.158440, 21625.000000
1.121446, 0.864085, 1.237849, 21750.000000
0.492488, 0.527300, 0.572495, 21875.000000
-0.022684, -0.115289, -0.389427, 22000.000000
0.288398, 0.236311, -0.031041, 22125.000000
0.210799, 0.303207, -0.030411, 22250.000000
0.379551, 0.127985, -0.289557, 22375.000000
0.998907, 0.882110, 0.615001, 22500.000000
1.914857, 1.609528, 1.413936, 22625.000000
0.446337, 0.227964, -0.028984, 22750.000000
1.628006, 1.225485, 1.172048, 22875.000000
1.447061, 1.036721, 0.938785, 23000.000000
1.265246, 1.063061, 1.042975, 23125.000000
0.689588, 0.489363, 0.708373, 23250.000000
-0.627866, -0.757346, -0.397132, 23375.000000
-0.829245, -1.106392, -0.854205, 23500.000000
-1.021479, -0.909967, -0.812098, 23625.000000
-0.230236, -0.166776, -0.435921, 23750.000000
0.071666, 0.182174, -0.694084, 23875.000000
-1.122051, -1.190082, -2.485442, 24000.000000
