b, g, r, t
1.021627, 0.887525, 1.380259, 16375.000000
-0.707078, 0.493023, -0.989840, 16500.000000
-0.086443, 0.076955, -1.237539, 16625.000000
0.887525, 1.380259, 0.547168, 16750.000000
0.493023, -0.989840, 0.087869, 16875.000000
0.076955, -1.237539, -0.393108, 17000.000000
1.380259, 0.547168, 0.624736, 17125.000000
-0.989840, 0.087869, -0.190455, 17250.000000
-1.237539, -0.393108, -0.812754, 17375.000000
0.547168, 0.624736, 0.406542, 17500.000000
0.087869, -0.190455, 0.189252, 17625.000000
-0.393108, -0.812754, 0.839909, 17750.000000
0.624736, 0.406542, 0.837492, 17875.000000
-0.190455, 0.189252, 0.254736, 18000.000000
-0.812754, 0.839909, 1.072672, 18125.000000
0.406542, 0.837492, 0.798474, 18250.000000
0.189252, 0.254736, 0.953394, 18375.000000
0.839909, 1.072672, 1.223175, 18500.000000
0.837492, 0.798474, 0.960347, 18625.000000
0.254736, 0.953394, 0.552400, 18750.000000
1.072672, 1.223175, 2.252518, 18875.000000
0.798474, 0.960347, 1.564284, 19000.000000
0.953394, 0.552400, 1.152227, 19125.000000
1.223175, 2.252518, 0.566685, 19250.000000
0.960347, 1.564284, 0.036628, 19375.000000
0.552400, 1.152227, 0.445541, 19500.000000
2.252518, 0.566685, -1.260899, 19625.000000
1.564284, 0.036628, -0.941340, 19750.000000
1.152227, 0.445541, 0.856116, 19875.000000
0.566685, -1.260899, -1.691600, 20000.000000
0.036628, -0.941340, -0.232326, 20125.000000
0.445541, 0.856116, 0.572822, 20250.000000
-1.260899, -1.691600, -1.250279, 20375.000000
-0.941340, -0.232326, 0.556705, 20500.000000
0.856116, 0.572822, -1.050032, 20625.000000
-1.691600, -1.250279, -1.071028, 20750.000000
-0.232326, 0.556705, 0.715781, 20875.000000
0.572822, -1.050032, -0.881636, 21000.000000
-1.250279, -1.071028, -2.016201, 21125.000000
0.556705, 0.715781, 0.183849, 21250.000000
-1.050032, -0.881636, -0.371978, 21375.000000
-1.071028, -2.016201, -2.615016, 21500.000000
0.715781, 0.183849, -0.165198, 21625.000000
-0.881636, -0.371978, -1.856111, 21750.000000
-2.016201, -2.615016, -1.212119, 21875.000000
0.183849, -0.165198, 0.253777, 22000.000000
-0.371978, -1.856111, -1.824747, 22125.000000
-2.615016, -1.212119, -1.482938, 22250.000000
-0.165198, 0.253777, -0.596647, 22375.000000
-1.856111, -1.824747, -1.456630, 22500.000000
-1.212119, -1.482938, -1.850047, 22625.000000
0.253777, -0.596647, -0.107921, 22750.000000
-1.824747, -1.456630, -0.840634, 22875.000000
-1.482938, -1.850047, -1.341803, 23000.000000
-0.596647, -0.107921, 0.139080, 23125.000000
-1.456630, -0.840634, -1.504592, 23250.000000
-1.850047, -1.341803, -1.137318, 23375.000000
-0.107921, 0.139080, 0.425340, 23500.000000
-0.840634, -1.504592, -0.247704, 23625.000000
-1.341803, -1.137318, -0.760172, 23750.000000
0.139080, 0.425340, 0.330390, 23875.000000
-1.504592, -0.247704, -1.526505, 24000.000000
